modelo,combustivel,cor,ano,km,valor
CHEVROLET Onix PLUS 1.0TURBO AUT LT1 2022,FLEX,VERMELHO,2022,11.025,"R$92.990,00"
VOLKSWAGEN Fox CONNECT MB 1.6 2022,FLEX,CINZA,2022,80.165,"R$71.990,00"
CITROEN C4 Cactus FEEL 1.6 AUT 2022,FLEX,BRANCO,2022,41.531,"R$87.990,00"
HYUNDAI HB20 VISION 1.6 AUT 2022,FLEX,CINZA,2022,48.491,"R$85.990,00"
JEEP Compass LONGITUDE TURBO FLEX 2022,FLEX,PRATA,2022,10.373,"R$162.990,00"
FIAT Pulse DRIVE 1.3 MT 2022,FLEX,CINZA,2022,7.607,"R$94.990,00"
HYUNDAI Creta 1.6 AUT ACTION 2022,FLEX,VARIAS,2022,30.565,"R$101.990,00"
HYUNDAI Creta 1.6 AUT ACTION 2022,FLEX,BRANCO,2022,36.130,"R$98.990,00"
FIAT Cronos DRIVE 1.3 MT 2022,FLEX,BRANCO,2022,34.081,"R$83.000,00"
HYUNDAI HB20S EVOLUTION 1.0 TURBO AUT 2022,FLEX,BRANCO,2022,45.560,"R$91.990,00"
FIAT Argo 1.0 6V FLEX 2022,FLEX,BRANCO,2022,32.848,"R$71.990,00"
HONDA City HATCHBACK EXL 1.5 AUT 2022,FLEX,BRANCO,2022,5.908,"R$113.990,00"
TOYOTA HILUX SW4 GRS 2.8 TB 4X4 DIESEL AUT. 2022,DIESEL,BRANCO,2022,1.500,"R$479.900,00"
VOLKSWAGEN GOL 1.6 2022,FLEX,BRANCO,2022,24.000,"R$64.900,00"
BMW 330I M SPORT 2.0 TB 16V 4P 2022,HÍBRIDO,AZUL,2022,4.500,R$Consulte
TOYOTA COROLLA 2.0 VVT-IE GLI DIRECT SHIFT 2022,FLEX,BRANCO,2022,26.000,"R$129.900,00"
JEEP COMPASS LIMITED T270 1.3 TB 4X2 FLEX AUT 2022,FLEX,BRANCO,2022,250,"R$224.900,00"
RENAULT DUSTER ICONIC 1.6 CVT FLEX 2022,FLEX,PRATA,2022,25.000,"R$105.900,00"
FIAT ARGO 1.0 2022,FLEX,VERMELHO,2022,23.973,"R$68.990,00"
VOLKSWAGEN NIVUS HL TSI 2022,FLEX,VERMELHO,2022,3.955,"R$129.990,00"
RENAULT LOGAN ZEN 1.0 2022,FLEX,PRATA,2022,86.367,"R$64.900,00"
PEUGEOT 208 ALLURE 1AT 2022,FLEX,PRATA,2022,3.591,"R$93.900,00"
FIAT PULSE 1.3 FLEX DRIVE CVT 2022,FLEX,AZUL,2022,25.811,"R$104.900,00"
FIAT PULSE 1.0 TURBO 200 FLEX IMPETUS CVT 2022,FLEX,VERMELHO,2022,9.194,"R$129.900,00"
JEEP RENEGADE 1.3 T270 TURBO FLEX S 4X4 AT9 2022,FLEX,PRETO,2022,10.868,"R$164.900,00"
PEUGEOT 208 1.6 16V FLEX ALLURE AT6 2022,FLEX,PRETO,2022,28.110,"R$88.900,00"
HYUNDAI HB20 1.0 TGDI FLEX EVOLUTION AUTOMÁTICO 2022,FLEX,BRANCO,2022,42.500,"R$69.900,00"
FIAT PULSE 1.0 TURBO 200 FLEX IMPETUS CVT 2022,FLEX,VERMELHO,2022,9.194,"R$123.900,00"
CHEVROLET ONIX PLUS 1.0 TURBO FLEX PREMIER AUTOMÁTICO 2022,FLEX,PRETO,2022,10.097,"R$101.500,00"
FIAT ARGO 1.3 FIREFLY FLEX TREKKING MANUAL 2022,FLEX,BRANCO,2022,45.714,"R$78.900,00"
FIAT PULSE 1.0 TURBO 200 FLEX DRIVE CVT 2022,FLEX,CINZA,2022,6.905,"R$110.900,00"
RENAULT LOGAN 1.0 12V SCE FLEX ZEN MANUAL 2022,FLEX,BEGE,2022,41.351,"R$70.900,00"
HYUNDAI HB20 1.0 TGDI FLEX PLATINUM MANUAL 2022,FLEX,BRANCO,2022,43.062,"R$74.900,00"
HYUNDAI HB20 1.0 TGDI FLEX EVOLUTION AUTOMÁTICO 2022,FLEX,BRANCO,2022,35.630,"R$70.900,00"
HYUNDAI HB20 1.0 TGDI FLEX EVOLUTION AUTOMÁTICO 2022,FLEX,BRANCO,2022,38.874,"R$70.900,00"
FIAT PULSE 1.0 TURBO 200 FLEX DRIVE CVT 2022,FLEX,CINZA,2022,6.905,"R$105.900,00"
FIAT PULSE 1.0 TURBO 200 FLEX DRIVE CVT 2022,FLEX,BRANCO,2022,9.570,"R$104.900,00"
PEUGEOT 208 1.6 16V FLEX ACTIVE AT6 2022,FLEX,PRATA,2022,27.874,"R$83.900,00"
JEEP COMPASS 1.3 T270 TURBO FLEX LONGITUDE AT6 2022,FLEX,BRANCO,2022,20.300,"R$1,00"
HYUNDAI HB20 1.0 12V FLEX EVOLUTION MANUAL 2022,FLEX,BRANCO,2022,35.240,"R$69.900,00"
PEUGEOT 208 1.6 16V FLEX ACTIVE AT6 2022,FLEX,PRETO,2022,28.497,"R$82.900,00"
FIAT 500e ICON ELÉTRICO 2022,OUTROS,AMARELO,2022,1,"R$225.900,00"
CITROEN C4 CACTUS 1.6 THP FLEX SHINE EAT6 2022,FLEX,CINZA,2022,19.016,"R$116.960,00"
HYUNDAI HB20 1.0 12V FLEX VISION MANUAL 2022,FLEX,PRATA,2022,45.346,"R$67.900,00"
HYUNDAI HB20 1.0 12V FLEX EVOLUTION MANUAL 2022,FLEX,PRATA,2022,39.330,"R$70.900,00"
PEUGEOT 208 1.6 16V FLEX ACTIVE AT6 2022,FLEX,PRATA,2022,27.874,"R$79.900,00"
FIAT PULSE 1.0 TURBO 200 FLEX DRIVE CVT 2022,FLEX,VERMELHO,2022,21.693,"R$1,00"
JEEP RENEGADE 1.3 T270 TURBO FLEX SPORT AT6 2022,FLEX,PRETO,2022,10.868,"R$156.900,00"
JEEP RENEGADE 1.3 T270 TURBO FLEX S 4X4 AT9 2022,FLEX,PRETO,2022,10.868,"R$164.900,00"
FIAT PULSE 1.0 TURBO 200 FLEX IMPETUS CVT 2022,FLEX,AZUL,2022,22.768,"R$118.900,00"
RENAULT Kwid OUTSIDER 2 2022,FLEX,BRANCO,2022,7.387,"R$66.990,00"
VOLKSWAGEN Fox CONNECT 2022,FLEX,PRETO,2022,23.000,"R$69.990,00"
VOLKSWAGEN Gol 1.0MC 2022,FLEX,PRETO,2022,26.000,"R$65.990,00"
VOLKSWAGEN Gol 1.6 aut 2022,FLEX,CINZA,2022,13.000,"R$75.990,00"
CITROEN C4 CACTUS FEEL 1.6 AUT 2022,FLEX,BRANCO,2022,18.931,"R$94.990,00"
VOLKSWAGEN GOL 1.0L MC4 2022,FLEX,PRETO,2022,40.404,"R$57.990,00"
BMW X6 3.0 TWINPOWER GASOLINA XDRIVE40I M SPORT AUTOMÁTICO 2022,GASOLINA,AZUL,2022,0,"R$849.900,00"
VOLKSWAGEN POLO GTS AE 2022,FLEX,PRATA,2022,5.000,"R$139.990,00"
CHERY TIGGO3X PRO TA 2022,FLEX,PRATA,2022,23.000,"R$94.890,00"
RENAULT DUSTER ZEN CVT 2022,FLEX,MARROM,2022,29.167,"R$94.890,00"
HYUNDAI HB20 EVOLUTION 2022,FLEX,PRATA,2022,29.500,"R$68.900,00"
FIAT TORO FREED TURB AT6 2022,FLEX,PRETO,2022,32.600,"R$138.900,00"
NISSAN FRONTIER ATTACK 4X4 2022,DIESEL,CINZA,2022,39.000,"R$204.900,00"
JEEP COMMANDER LIM TD380 2022,DIESEL,PRETO,2022,19.450,"R$265.900,00"
NISSAN KICKS SENSE CVT _4P_ 2022,FLEX,PRATA,2022,21.300,"R$101.900,00"
JEEP COMMANDER LIM T270 2022,FLEX,DOURADO,2022,15.536,"R$204.900,00"
HONDA CITY TOURING 2022,FLEX,AZUL,2022,0,"R$123.900,00"
VOLKSWAGEN VOYAGE MB5 _4P_ 2022,FLEX,BRANCO,2022,36.300,"R$67.900,00"
VOLKSWAGEN TAOS CL TSI AE 2022,FLEX,PRATA,2022,24.349,"R$150.900,00"
VOLKSWAGEN VIRTUS CL TSI 2022,FLEX,BRANCO,2022,20.500,"R$102.900,00"
JEEP COMMANDER OVR T270 2022,FLEX,DOURADO,2022,5,"R$247.900,00"
CHEVROLET SPIN 1.8L AT PREMIER 2022,FLEX,BRANCO,2022,50.150,"R$103.900,00"
TOYOTA COROLLA ALTIS/A.PREMIU. 2.0 FLEX 16V AUT 2022,FLEX,CINZA,2022,31.981,"R$161.900,00"
TOYOTA COROLLA 2.0 VVT-IE XEI DIRECT SHIFT FLEX 2022,FLEX,PRATA,2022,24.114,"R$139.900,00"
FIAT ARGO 1.0 2022,FLEX,VERMELHO,2022,24.019,"R$69.900,00"
VOLKSWAGEN T-CROSS SENSE 200 TSI AUT. 2022,FLEX,PRATA,2022,9.891,"R$113.900,00"
CHEVROLET S10 HIGH COUNTRY DD4A CABINE DUPLA 2022,DIESEL,BRANCO,2022,25.000,"R$270.000,00"
FORD Ranger Storm 3.2 20V 4x4 CD Diesel Aut 2022,DIESEL,PRETO,2022,13.000,"R$239.500,00"
MITSUBISHI ECLIPSE CROSS HPE-S 1.5 16V 165CV AUT 2022,GASOLINA,CINZA,2022,16.000,"R$186.500,00"
CHEVROLET CRUZE LTZ 1.4 16V TURBO FLEX 4P AUT 2022,FLEX,AZUL,2022,8.000,"R$120.500,00"
VOLKSWAGEN T-CROSS 200 TSI COMFORTLINE AUT 2022,FLEX,AZUL,2022,35.000,"R$130.000,00"
PEUGEOT 208 ALLURE 1.6 FLEX 16V AUTOMATICO 2022,FLEX,PRETO,2022,26.000,"R$84.500,00"
FORD RANGER XL CD 2.2 4X4 DIESEL 2022,DIESEL,BRANCO,2022,48,"R$182.000,00"
CHEVROLET TRAILBLAZER PREMIER 2.8 2022,DIESEL,PRATA,2022,45.000,"R$309.500,00"
